[2018-10-25 00:01:39,788891] eccube.ERROR [NULL] [eec9401a] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /admin/plugin/plugin/snslogin/hello" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /admin/plugin/plugin/snslogin/hello\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/admin/plugin/plugin/snslogin/hello\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/admin/plugin/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 10:31:33,454586] eccube.INFO  [28ca951f] [4e4a07f1] [NULL] [AbstractAuthenticationListener:onSuccess:216] - User has been authenticated successfully. {"username":"admin"}  [POST, /html/admin/login_check, 10.240.1.65, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:33,470563] eccube.INFO  [28ca951f] [4e4a07f1] [2] [LogListener:logResponse:94] - < 302 http://ec-cute-kaku87.c9users.io/html/admin/   [POST, /html/admin/login_check, 10.240.1.65, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:33,762991] eccube.INFO  [NULL] [b5e594f3] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\AdminController::index","_route":"admin_homepage"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/"}  [GET, /html/admin/, 10.240.1.65, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:33,788968] eccube.INFO  [28ca951f] [b5e594f3] [2] [LogListener:logRequest:83] - > GET /html/admin/   [GET, /html/admin/, 10.240.1.65, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:34,127102] eccube.INFO  [28ca951f] [b5e594f3] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/, 10.240.1.65, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:38,769571] eccube.INFO  [NULL] [c749777a] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_store_plugin". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\Store\\PluginController::index","_route":"admin_store_plugin"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/store/plugin"}  [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:38,796367] eccube.INFO  [28ca951f] [c749777a] [2] [LogListener:logRequest:83] - > GET /html/admin/store/plugin   [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:38,913826] eccube.INFO  [28ca951f] [c749777a] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:27,236691] eccube.INFO  [NULL] [3adb698c] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_store_plugin". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\Store\\PluginController::index","_route":"admin_store_plugin"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/store/plugin"}  [GET, /html/admin/store/plugin, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:27,267691] eccube.INFO  [28ca951f] [3adb698c] [2] [LogListener:logRequest:83] - > GET /html/admin/store/plugin   [GET, /html/admin/store/plugin, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
