[2018-10-24 14:42:40,139234] admin.INFO  [NULL] [3b579777] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:40,172901] admin.INFO  [5caf351b] [3b579777] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_homepage"]  [GET, /html/admin/, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:40,212072] admin.INFO  [5caf351b] [3b579777] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_homepage"]  [GET, /html/admin/, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:40,693242] admin.INFO  [5caf351b] [3b579777] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /html/admin/, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:40,696189] admin.INFO  [5caf351b] [3b579777] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /html/admin/, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:54,173426] admin.INFO  [NULL] [47d1742c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/customer, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:54,201907] admin.INFO  [5caf351b] [47d1742c] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_customer"]  [GET, /html/admin/customer, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:54,237548] admin.INFO  [5caf351b] [47d1742c] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_customer"]  [GET, /html/admin/customer, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:54,437170] admin.INFO  [5caf351b] [47d1742c] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_customer"]  [GET, /html/admin/customer, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:42:54,440761] admin.INFO  [5caf351b] [47d1742c] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_customer"]  [GET, /html/admin/customer, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
